,base_value,Transportation Emissions,Coal Mining Emissions,Cropland Fires Emissions,Residential & Commercial Emissions,Forest Clearing Emissions,Electricity Generation Emissions,Incineration & Open Burning Emissions,Health Expenditure,Urban Population,country
0,22617.15088433886,-233.05583938598633,-556.2597538757324,-2209.090601730347,2914.54697265625,-184.33017845153807,-1024.3710865783692,374.1565042114258,-1007.5163145446777,-11296.591359024047,AFG
1,22617.15088433886,-1858.0048510742188,-529.8717568969727,-2692.714920272827,-496.21188751220706,-224.58771579742432,-1153.3396466064453,61.68886749267578,1112.973455657959,-12302.538781814575,AGO
2,22617.15088433886,-1279.9015710449219,-417.7651116943359,-2547.9153981781005,-433.6693570327759,-203.0644258117676,-1201.4753356933593,59.89584747314453,-715.2433700561523,-11558.059956283569,ALB
3,22617.15088433886,-2126.9951440429686,-529.8717568969727,-2859.1004807281493,-496.21188751220706,-207.967940864563,-1562.5969720458984,61.68886749267578,1912.3913694763185,-12195.951500320434,ARE
4,22617.15088433886,-2126.9951440429686,-529.8717568969727,861.1379477691651,-496.21188751220706,-207.967940864563,-1401.3413990783692,-0.9903289794921875,1912.3913694763185,-12085.091966323853,ARG
5,22617.15088433886,-193.28372665405274,-405.06956298828123,-2599.7238593292236,-395.3402515029907,-203.0644258117676,-840.2290777587891,123.4831120300293,-2029.9903137207032,-7270.009279403686,ARM
6,22617.15088433886,-1635.0175065612793,-1455.2984533691406,-162.55678466796874,-191.10890354156493,-9.251589736938477,8814.77694454193,-2584.5884338378905,-5835.029964065552,50213.27876953125,ATG
7,22617.15088433886,284.5711508178711,1482.7561633300782,1556.1479942321778,-523.7518594741821,35.08119659423828,-1016.9896092605591,-159.13153579711914,-1456.2484199523926,-9101.493460159301,AUS
8,22617.15088433886,88.64360076904296,2621.053105621338,11522.495200271607,3731.8284271240236,1049.0460504531861,5509.14593919754,-2393.521369934082,4787.8161640930175,50831.49147781372,AUT
9,22617.15088433886,-1277.9922100830079,-417.7651116943359,-2602.728808822632,-433.1264011001587,-203.0644258117676,-1201.4753356933593,59.89584747314453,-149.2560073852539,-12071.686217117309,AZE
10,22617.15088433886,-1840.4368420410156,-45.499442138671874,-1100.5173244476318,-485.5197732543945,-53.69200717926025,-1431.3472346496583,-8.43773193359375,2132.988315734863,-12153.04664100647,BDI
11,22617.15088433886,-2126.9951440429686,-529.8717568969727,1133.13817237854,-429.33027313232424,-207.967940864563,-1401.3413990783692,-0.9903289794921875,2004.342417755127,-10778.445543289185,BEL
12,22617.15088433886,-333.42075424194337,-417.7651116943359,1254.3524451446533,-356.46819004058835,-32.16871719360351,-1067.4542514038085,-2.7833489990234375,-222.46893692016602,-6987.186747055053,BEN
13,22617.15088433886,-993.2511199951172,-405.06956298828123,-2257.708270187378,-433.6693570327759,-32.16871719360351,-1234.6677987670898,-128.36569381713866,-995.7029153442382,-11210.271714248658,BFA
14,22617.15088433886,-539.9947369384765,-421.46439460754397,1038.6576374053955,-272.0056694030762,1225.3384415435792,-1105.1343653869628,657.5374554443359,2375.1631863403322,-3814.83692817688,BGD
15,22617.15088433886,-380.2748587036133,-508.7710842895508,-2246.587901611328,874.7454344177246,-214.30261089324952,-906.311333770752,532.5734332275391,920.2397171020508,-10113.804213790894,BGR
16,22617.15088433886,7274.3124872589115,488.5498794555664,43.82464729309082,649.6083663177491,611.4756037139892,8041.911776428223,386.0514471435547,-2333.6230113220213,2077.891199264526,BHR
17,22617.15088433886,5098.105166244507,325.104306640625,1420.461972351074,-3385.9086320877077,-216.74465133666993,-743.0371619415283,-2884.5854528808595,-5733.060684814453,36685.684032669065,BHS
18,22617.15088433886,-1279.9015710449219,-417.7651116943359,-2547.9153981781005,-418.0183255386353,-203.0644258117676,-1201.4753356933593,59.89584747314453,-746.545426940918,-11542.408926010132,BIH
19,22617.15088433886,-1437.1060577392577,1243.3337278747558,-2394.3391352844237,-655.7199057006836,-193.76901874542236,-1273.4577253723144,298.2606826782227,1333.570401916504,-12178.071653518677,BLR
20,22617.15088433886,-635.0192337036133,-529.8717568969727,872.3003076934815,-451.1213269042969,-53.69200717926025,-1343.5615821838378,-0.9903289794921875,2456.331022644043,-7748.891172103882,BLZ
21,22617.15088433886,264.27241271972656,3020.739810333252,946.5353937530517,4026.2276319885254,-1433.35306804657,3045.7514793014525,-92.51262390136719,2061.747704925537,-2634.295811920166,BOL
22,22617.15088433886,2620.6847953796387,780.1561366271973,-154.7841470336914,192.54557460784912,179.08836906433106,7123.78206577301,721.9842962646485,-5362.600876922607,2120.134069442749,BRA
23,22617.15088433886,38.24868637084961,-564.6648777770996,-2538.408623123169,2913.1141513061525,-13.434469833374024,-1243.6186151123047,123.4831120300293,-2209.1365829467773,-7306.715777206421,BRB
24,22617.15088433886,-1638.7880867004394,-529.8717568969727,-2471.3823850250246,-496.21188751220706,-53.69200717926025,-1434.1541674804687,61.68886749267578,722.8308438110352,-12133.3190259552,BRN
25,22617.15088433886,658.3160855102539,2888.4386656188963,1471.4919975280761,3848.840758514404,683.657240600586,3638.9672465133667,100.22032028198242,-3158.414106140137,-7191.982424697876,BTN
26,22617.15088433886,-185.0399072265625,1782.8175732421876,787.5236389923095,-559.3235363769531,-140.7180270767212,-1381.7693909072875,231.34009155273438,2680.180613250732,-4301.568109207154,BWA
27,22617.15088433886,-211.47619949340822,-405.06956298828123,-1575.2231536102295,946.1775413131713,-176.15954597473146,-1144.0551779174805,212.87484375,-919.6483363342285,-7210.685044631958,CAF
28,22617.15088433886,-416.43122528076174,-417.7651116943359,-2547.9153981781005,-433.6693570327759,-203.0644258117676,-840.2290777587891,43.493025360107424,-1016.1191229248047,-11366.197278671265,CAN
29,22617.15088433886,2329.5131424713136,411.57376693725587,334.78788299560546,-444.9525337600708,191.38013587951662,7578.442104721069,-2005.4339685058594,-8083.708396301269,21027.89439254761,CHE
30,22617.15088433886,-990.6786334228516,-494.7542010498047,995.1285884094239,773.1986371994019,-86.90304489135742,-821.3535342407226,772.7299922180176,-1594.925223236084,-2462.668391418457,CHL
31,22617.15088433886,-126.06936996459962,1608.174111175537,-2186.5687892150877,-584.7590390396118,35.08119659423828,-1303.7682315063475,120.32050201416016,-856.9595489501953,-11410.22553123474,
32,22617.15088433886,-635.0192337036133,-529.8717568969727,872.3003076934815,-451.1213269042969,-53.69200717926025,-1343.5615821838378,-0.9903289794921875,2456.331022644043,-7748.891172103882,CIV
33,22617.15088433886,-431.82675567626956,-529.8717568969727,1532.018638381958,-422.5688180541992,-260.0252174758911,-1215.118777618408,-0.9903289794921875,981.7559265136719,-7252.308041610718,CMR
34,22617.15088433886,-1638.7880867004394,-529.8717568969727,1248.8560538482666,-457.8827819824219,-260.0252174758911,-1272.8985945129396,-0.9903289794921875,814.7818920898437,-11094.216152420044,COD
